RTU,CARD,,
490-RTU,i0000104aCARD,,
,,,
Description,RowID,Component,Attribute
7113.7,i0000fe97SROW,DIG-490-1-33-200824,Digital Scanned Value,Associated Scanned Value
7104.4A                ,i0000fe9cSROW,DIG-490-1-34-200825,Digital Scanned Value,Associated Scanned Value
7104.4B                ,i0000fea1SROW,DIG-490-1-35-200826,Digital Scanned Value,Associated Scanned Value
3308.0 GT301           ,i0000fea6SROW,DIG-490-1-36-200827,Digital Scanned Value,Associated Scanned Value
GT301 FREQUENCY CONTROL,i0000feabSROW,DIG-490-1-37-200828,Digital Scanned Value,Associated Scanned Value
3303.0 GT302           ,i0000feb0SROW,DIG-490-1-38-200829,Digital Scanned Value,Associated Scanned Value
GT302 FREQUENCY CONTROL,i0000feb5SROW,DIG-490-1-39-200830,Digital Scanned Value,Associated Scanned Value
7307.0,i0000febaSROW,DIG-490-1-40-200831,Digital Scanned Value,Associated Scanned Value
7307.4A                ,i0000febfSROW,DIG-490-1-41-200832,Digital Scanned Value,Associated Scanned Value
7307.4B                ,i0000fec4SROW,DIG-490-1-42-200833,Digital Scanned Value,Associated Scanned Value
7307.5,i0000fec9SROW,DIG-490-1-43-200834,Digital Scanned Value,Associated Scanned Value
7307.7,i0000feceSROW,DIG-490-1-44-200835,Digital Scanned Value,Associated Scanned Value
7308.0,i0000fed3SROW,DIG-490-1-45-200836,Digital Scanned Value,Associated Scanned Value
7308.4A                ,i0000fed8SROW,DIG-490-1-46-200837,Digital Scanned Value,Associated Scanned Value
7308.4B                ,i0000feddSROW,DIG-490-1-47-200838,Digital Scanned Value,Associated Scanned Value
7303,i0000fee2SROW,DIG-490-1-48-200839,Digital Scanned Value,Associated Scanned Value
7303.4A                ,i0000fee7SROW,DIG-490-1-49-200840,Digital Scanned Value,Associated Scanned Value
7303.4B                ,i0000feecSROW,DIG-490-1-50-200841,Digital Scanned Value,Associated Scanned Value
7310,i0000fef1SROW,DIG-490-1-51-200842,Digital Scanned Value,Associated Scanned Value
7310.4A                ,i0000fef6SROW,DIG-490-1-52-200843,Digital Scanned Value,Associated Scanned Value
7310.4B                ,i0000fefbSROW,DIG-490-1-53-200844,Digital Scanned Value,Associated Scanned Value
